,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
Log_Length,0.9123464470810064,0.38870760625124484,0.1404595934042277,-0.011673342218314673,-0.005354560140293732,-0.02300214670648354,0.006046225011423861,0.04681557255641241,0.028818907909500462
Rating,0.9262002045252743,-0.34058286930849374,-0.1773903625458702,0.004146222804093159,0.0006561944279206979,0.017402862812825288,0.01338719622940176,-0.032407988383744285,-0.0238888992654435
Auth__Albert Einstein,0.03776596749459837,0.05450115019544293,-0.11978200859382075,-0.17016816376774474,0.18737280783740037,-0.10600564341022468,-0.1423116334808311,0.01933602464841147,-0.05489290210798105
Auth__C.S. Lewis,0.03544189016281521,0.08414743267826995,-0.017135908536338295,-0.003613255419549491,-0.13351358733882637,-0.05416636341982361,-0.06694139920403513,-0.03342926807222912,0.14967612634589697
Auth__Dr. Seuss,-0.01877658963729639,0.01720312025719407,-0.04248766107000093,-0.0007834190304903289,0.007541073748206673,-0.01246669456103032,0.06808179926333685,-0.06333659721513682,0.09244453107707987
Auth__Eleanor Roosevelt,-0.01176136007947089,0.0006351611732200704,-0.015517722605335004,0.003095197648390708,-0.0026115983208529463,0.001999653412297335,-0.0005858693140893747,-0.002077876523992943,0.0036489882537651345
Auth__J.K. Rowling,-0.024298171668162886,0.03169305996589339,-0.07873589037200994,0.004365964305790606,-0.08051047508878657,-0.04574946961286963,0.149303582585986,0.18404589146072903,-0.07772580834455879
Auth__Jane Austen,0.13452424470170488,0.08483289196628893,-0.04476913162523251,0.20802111831420303,0.06598381953608227,-0.004627433871166261,-0.012129094778038262,-0.026614924231272485,-0.08215120604291941
Auth__Marilyn Monroe,-0.0005071288043778286,-0.021709239882076757,-0.07075218079272662,0.017428394411783545,-0.04905584691681245,0.025861282278833518,-0.037385306274889424,-0.022784039085698597,0.025404932775977596
Auth__Mark Twain,0.011573155259234413,0.08564814510346566,-0.023150592911242402,-0.03929510386067278,-0.007436071994820425,0.19259489446178718,0.06041277215978958,-0.11218481602573384,-0.07381221744964125
Auth__Mother Teresa,-0.011030966733606486,0.0019864303611322044,-0.014893161377493299,0.002987436835331202,-0.0026823456412217225,0.0016752963140923307,-0.000476280643140659,-0.0011176627044809041,0.004340321173273333
Auth__Other,0.09232725451289257,-0.2687267409067174,0.4797147478717202,-0.02839814679612942,0.012544931650387434,-0.011041081329582998,-0.01905465871757858,0.02806653546858199,-0.019103839121539457
Auth__Ralph Waldo Emerson,-0.004936897119938526,0.01330694496794831,-0.00851089304655086,-0.01001524353204764,0.007356960586572158,0.014138450746026847,0.011067784896256783,0.007182484763158369,0.02098207927503197
Tag__books,-0.007546770669972473,0.18556870681565385,0.12396106443424153,0.04941163966643911,-0.07379362554955056,0.04645622426199054,-0.0895069736683204,-0.0643786943963803,-0.10716720930235946
Tag__humor,0.03183827309753729,-0.009857065096809944,0.07325431112523585,0.1893874442799422,0.15746584034367195,-0.09003535111636765,0.0945276903411573,-0.07616985637828126,0.05224409863149855
Tag__inspirational,0.13361320953035855,-0.05673216916657218,0.011622228015236186,-0.1335844709267405,-0.12727941852553412,-0.14827740862506228,0.05544768189234433,-0.1309079944410159,-0.06543235015661049
Tag__life,0.08934067379846068,0.039875582365187366,0.04970916263939544,-0.18011800946582812,0.1092939037142972,0.14459240318704347,0.08064627638788545,0.006504822782211992,0.06469596038592541
Tag__love,0.1750713147946329,-0.14229693234031032,-0.041379813324328385,0.09630991772870606,-0.04688115646297273,0.10906255879359451,-0.11906914494887076,0.06948724707776933,0.03893104026669122
